name,city,province,postalCode,latitude,longitude,full_name
Hardee's,Dubuque,IA,52001,42.499359999999996,-90.69409,Hardee's
McDonald's,Memphis,TN,38111,35.114670000000004,-89.94566999999999,McDonald's
McDonald's,Reidsville,GA,30453,32.0872,-82.1169,McDonald's
Checker's,Robinsonville,MS,38664,34.819435,-90.315636,Checkers
McDonald's,Cedar Falls,IA,50613,42.51433,-92.44636,McDonald's
McDonald's,Waverly,IA,50677,42.71363,-92.47495,McDonald's
McDonald's,Cedar Falls,IA,50613,42.537782,-92.45217199999999,McDonald's
Krystal,Southaven,MS,38671,34.963048,-89.99107099999999,Krystal
Burger King,Memphis,TN,38104,35.14451,-90.0163,Burger King
Burger King,Memphis,TN,38141,35.020951000000004,-89.849198,Burger King
Krystal,Memphis,TN,38118,35.06408,-89.9415,Krystal
Burger King,Memphis,TN,38118,35.068121999999995,-89.944386,Burger King
Burger King,Memphis,TN,38104,35.13482,-89.99183000000001,Burger King
Arby's,Ottumwa,IA,52501,41.017663,-92.43788599999999,Arby's
Burger King,Ottumwa,IA,52501,41.016358000000004,-92.438456,Burger King
Domino's Pizza,Billings,MT,59102,45.783770000000004,-108.58726999999999,Domino's Pizza
Domino's Pizza,Billings,MT,59105,45.81531,-108.4716,Domino's Pizza
McDonald's,Creston,IA,50801,41.051853,-94.367339,McDonald's
McDonald's,Decorah,IA,52101,43.29087,-91.79683,McDonald's
Integrated Therapy Specialists: Arnold D Larson,Decorah,IA,52101,43.2915,-91.7971,Integrated Therapy Specialists: Arnold D Larson
McDonald's,Swainsboro,GA,30401,32.584458000000005,-82.321669,McDonald's
KFC,Swainsboro,GA,30401,32.5931,-82.3314,KFC
Hardee's,Swainsboro,GA,30401,32.584759999999996,-82.321876,Hardee's
Burger King,Swainsboro,GA,30401,32.58951,-82.32731,Burger King
Wendy's,Burlington,IA,52601,40.810887,-91.141513,Wendy's
Arby's,Burlington,IA,52601,40.807291,-91.14219200000001,Arby's
Jimmy John's,Clinton,IA,52732,41.85268,-90.18691,Jimmy John's
McDonald's,Clinton,IA,52732,41.85137,-90.18701999999999,McDonald's
Wendy's,Clinton,IA,52732,41.852665,-90.186586,Wendy's
McDonald's,Clinton,IA,52732,41.816010999999996,-90.22924599999999,McDonald's
Jimmy John's,Carroll,IA,51401,42.06454,-94.86163,Jimmy John's
McDonald's,Carroll,IA,51401,42.0715,-94.8767,McDonald's
Arby's,Carroll,IA,51401,42.065153,-94.843281,Arby's
Burger King,Carroll,IA,51401,42.07128,-94.87785,Burger King
Hardee's,Storm Lake,IA,50588,42.645464000000004,-95.188684,Hardee's
KFC,Storm Lake,IA,50588,42.6453,-95.1881,KFC
Burger King,Storm Lake,IA,50588,42.655465,-95.20075,Burger King
Arby's,Mason City,IA,50401,43.147806,-93.236725,Arby's
Hardee's,Mason City,IA,50401,43.147024,-93.19974,Hardee's
Burger King,Mason City,IA,50401,43.148534000000005,-93.235558,Burger King
Domino's Pizza,Corinth,MS,38834,34.919129999999996,-88.51156999999999,Domino's Pizza
Burger King,Newton,IA,50208,41.699413,-93.04531999999999,Burger King
Domino's Pizza,Moscow,ID,83843,46.729659999999996,-117.00437,Domino's Pizza
Burger King,Boone,NC,28607,36.201496,-81.656779,Burger King
Jimmy John's,Boone,NC,28607,36.21992,-81.68616,Jimmy John's
Jimmy John's,Boone,NC,28607,36.19887,-81.65861,Jimmy John's
Jack in the Box,Mountain Home,ID,83647,43.14158,-115.66251000000001,Jack In The Box
Wendy's,Mountain Home,ID,83647,43.136722,-115.66511499999999,Wendy's
McDonald's,Mountain Home,ID,83647,43.1371,-115.66441999999999,McDonald's
Waffle House,Washington,NC,27889,35.555,-77.0592,Waffle House
McDonald's,Sioux Center,IA,51250,43.09082,-96.17456,McDonald's
McDonald's,Twin Falls,ID,83301,42.59206,-114.45867,McDonald's
Pizza Hut,Twin Falls,ID,83301,42.56322,-114.45228999999999,Pizza Hut
McDonald's,Twin Falls,ID,83301,42.56708,-114.46094,McDonald's
Burger King,Independence,IA,50644,42.468862,-91.895944,Burger King
McDonald's,Independence,IA,50644,42.46783,-91.91736,McDonald's
Quiznos,Swansboro,NC,28584,34.69101,-77.06811,Quiznos
